structure,last phdos peak,sg_symbol,sg_number
"Full Formula (Y4 Cr4 B16)
Reduced Formula: YCrB4
abc   :   3.450052   5.933535  11.462204
angles:  90.000000  90.000000  90.000000
Sites (24)
  #  SP      a         b         c
---  ----  ---  --------  --------
  0  B     0.5  0.024603  0.691581
  1  B     0.5  0.975397  0.308418
  2  B     0.5  0.524603  0.808419
  3  B     0.5  0.475397  0.191581
  4  B     0.5  0.11295   0.546719
  5  B     0.5  0.88705   0.453281
  6  B     0.5  0.61295   0.953281
  7  B     0.5  0.38705   0.046719
  8  B     0.5  0.280454  0.316129
  9  B     0.5  0.719546  0.683871
 10  B     0.5  0.780454  0.183871
 11  B     0.5  0.219546  0.816129
 12  B     0.5  0.362671  0.467469
 13  B     0.5  0.637329  0.532531
 14  B     0.5  0.862671  0.032531
 15  B     0.5  0.137329  0.967469
 16  Cr    0    0.378032  0.920727
 17  Cr    0    0.621968  0.079273
 18  Cr    0    0.878032  0.579273
 19  Cr    0    0.121968  0.420727
 20  Y     0    0.375434  0.65065
 21  Y     0    0.624566  0.34935
 22  Y     0    0.875434  0.84935
 23  Y     0    0.124566  0.15065",935.5857047677364,Pbam,55
"Full Formula (Ti1 Pb1 O3)
Reduced Formula: TiPbO3
abc   :   3.861215   3.861215   4.627061
angles:  90.000000  90.000000  90.000000
Sites (5)
  #  SP      a     b         c    magmom
---  ----  ---  ----  --------  --------
  0  Ti    0.5   0.5  0.520923         0
  1  Pb    0    -0    0.969212        -0
  2  O     0.5   0.5  0.142449        -0
  3  O     0     0.5  0.626658         0
  4  O     0.5   0    0.626658        -0",800.4307672174878,P4mm,99
"Full Formula (Rb1 F1)
Reduced Formula: RbF
abc   :   3.454966   3.454966   3.454966
angles:  90.000000  90.000000  90.000000
Sites (2)
  #  SP      a    b    c
---  ----  ---  ---  ---
  0  F     0.5  0.5  0.5
  1  Rb    0    0    0",238.58576011078603,Pm-3m,221
"Full Formula (Rh2 F6)
Reduced Formula: RhF3
abc   :   5.445003   5.445003   5.445003
angles:  54.791350  54.791350  54.791350
Sites (8)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  F     0.409725  0.75      0.090275
  1  F     0.75      0.090275  0.409725
  2  F     0.909725  0.590275  0.25
  3  F     0.25      0.909725  0.590275
  4  F     0.590275  0.25      0.909725
  5  F     0.090275  0.409725  0.75
  6  Rh    0.5       0.5       0.5
  7  Rh    0         0         0",554.5857350198194,R-3c,167
"Full Formula (K4 Te4)
Reduced Formula: KTe
abc   :   5.658700   5.658700  12.447902
angles:  90.000000  90.000000 120.000000
Sites (8)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  K     0         0         0
  1  K     0         0         0.5
  2  K     0.333333  0.666667  0.25
  3  K     0.666667  0.333333  0.75
  4  Te    0.333333  0.666667  0.636039
  5  Te    0.666667  0.333333  0.136039
  6  Te    0.666667  0.333333  0.363961
  7  Te    0.333333  0.666667  0.863961",169.5857655895096,P6_3/mmc,194
"Full Formula (In2 Hg1 Se4)
Reduced Formula: In2HgSe4
abc   :   6.007079   6.007079   7.283284
angles: 114.354936 114.354936  90.000000
Sites (7)
  #  SP           a         b        c
---  ----  --------  --------  -------
  0  Se    0.862246  0.900893  0.27572
  1  Se    0.625173  0.137754  0.72428
  2  Se    0.099107  0.586526  0.72428
  3  Se    0.413474  0.374827  0.27572
  4  In    0.25      0.75      0.5
  5  In    0.5       0.5       0
  6  Hg    0         0         0",204.58576281044685,I-4,82
"Full Formula (Li3 Sb1)
Reduced Formula: Li3Sb
abc   :   4.639860   4.639860   4.639860
angles:  60.000000  60.000000  60.000000
Sites (4)
  #  SP       a     b     c    magmom
---  ----  ----  ----  ----  --------
  0  Li    0.5   0.5   0.5          1
  1  Li    0.25  0.25  0.25         1
  2  Li    0.75  0.75  0.75         1
  3  Sb    0     0     0            1",403.5857470094902,Fm-3m,225
"Full Formula (Li2 In2 Te4)
Reduced Formula: LiInTe2
abc   :   6.541225   6.541225   7.879415
angles: 114.524555 114.524555  90.000000
Sites (8)
  #  SP           a         b     c    magmom
---  ----  --------  --------  ----  --------
  0  Li    0.75      0.25      0.5          1
  1  Li    0.5       0.5       0            1
  2  In    0.25      0.75      0.5          1
  3  In    0         0         0            1
  4  Te    0.867391  0.875     0.25         1
  5  Te    0.625     0.132609  0.75         1
  6  Te    0.125     0.617391  0.75         1
  7  Te    0.382609  0.375     0.25         1",325.58575320282995,I-42d,122
"Full Formula (Rb4 P6)
Reduced Formula: Rb2P3
abc   :   6.682558   6.682558   8.721244
angles: 110.777938 110.777938  94.247028
Sites (10)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  P     0.853421  0.853421  0.706842
  1  P     0.146579  0.146579  0.293158
  2  P     0.133394  0.133394  0.854213
  3  P     0.279181  0.279181  0.145787
  4  P     0.866606  0.866606  0.145787
  5  P     0.720819  0.720819  0.854213
  6  Rb    0.25      0.75      0.5
  7  Rb    0.75      0.25      0.5
  8  Rb    0.276868  0.723132  0
  9  Rb    0.723132  0.276868  0",506.5857388311055,Fmmm,69
"Full Formula (In1 P1 S4)
Reduced Formula: InPS4
abc   :   5.772129   5.772129   6.175249
angles: 117.863065 117.863065  90.000000
Sites (6)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  P     0.75      0.25      0.5              1
  1  S     0.437101  0.363232  0.263601         1
  2  S     0.8265    0.900368  0.263601         1
  3  S     0.099632  0.562899  0.736399         1
  4  S     0.636768  0.1735    0.736399         1
  5  In    0         0         0                1",565.5857341463998,I-4,82
"Full Formula (Ge4 Pt4 Se4)
Reduced Formula: GePtSe
abc   :   6.076601   6.106667   6.156435
angles:  90.000000  90.000000  90.000000
Sites (12)
  #  SP          a         b         c
---  ----  -------  --------  --------
  0  Ge    0.88068  0.881146  0.375109
  1  Ge    0.88068  0.381146  0.624891
  2  Ge    0.38068  0.618854  0.375109
  3  Ge    0.38068  0.118855  0.624891
  4  Se    0.11479  0.616907  0.863308
  5  Se    0.11479  0.116907  0.136692
  6  Se    0.61479  0.883093  0.863308
  7  Se    0.61479  0.383093  0.136692
  8  Pt    0.00263  0.508565  0.25911
  9  Pt    0.50263  0.491435  0.74089
 10  Pt    0.50263  0.991435  0.25911
 11  Pt    0.00263  0.008565  0.74089",256.58575868155367,Pca2_1,29
"Full Formula (Zn1 In2 Te4)
Reduced Formula: Zn(InTe2)2
abc   :   6.238262   6.238262   7.706072
angles: 113.876260 113.876260  90.000000
Sites (7)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Zn    0         0         0
  1  In    0.5       0.5       0
  2  In    0.25      0.75      0.5
  3  Te    0.39677   0.345362  0.263605
  4  Te    0.081757  0.60323   0.736395
  5  Te    0.654638  0.133165  0.736395
  6  Te    0.866835  0.918243  0.263605",160.58576630412574,I-4,82
"Full Formula (Sr4 Ca4 Pb4)
Reduced Formula: SrCaPb
abc   :   5.234266   8.532128   9.790996
angles:  90.000000  90.000000  90.000000
Sites (12)
  #  SP       a         b         c
---  ----  ----  --------  --------
  0  Ca    0.75  0.85117   0.930806
  1  Ca    0.25  0.14883   0.069194
  2  Ca    0.75  0.35117   0.569194
  3  Ca    0.25  0.64883   0.430806
  4  Sr    0.75  0.978273  0.318877
  5  Sr    0.25  0.021727  0.681123
  6  Sr    0.75  0.478273  0.181123
  7  Sr    0.25  0.521727  0.818877
  8  Pb    0.75  0.737403  0.611187
  9  Pb    0.25  0.262597  0.388813
 10  Pb    0.75  0.237403  0.888813
 11  Pb    0.25  0.762597  0.111187",176.5857650336971,Pnma,62
"Full Formula (Sr2 Cu2 Se2 F2)
Reduced Formula: SrCuSeF
abc   :   4.093813   4.093813   8.901206
angles:  90.000000  90.000000  90.000000
Sites (8)
  #  SP       a     b         c
---  ----  ----  ----  --------
  0  F     0.75  0.25  0.5
  1  F     0.25  0.75  0.5
  2  Cu    0.25  0.75  0
  3  Cu    0.75  0.25  0
  4  Se    0.25  0.25  0.831171
  5  Se    0.75  0.75  0.168829
  6  Sr    0.75  0.75  0.661848
  7  Sr    0.25  0.25  0.338152",311.585754314455,P4/nmm,129
"Full Formula (Pb1 S1)
Reduced Formula: PbS
abc   :   4.247199   4.247199   4.247199
angles:  60.000000  60.000000  60.000000
Sites (2)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Pb    0    0    0          -0
  1  S     0.5  0.5  0.5         0",224.58576122241104,Fm-3m,225
"Full Formula (Zn2 O2)
Reduced Formula: ZnO
abc   :   3.289103   3.289103   5.306821
angles:  90.000000  90.000000 120.000000
Sites (4)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  O     0.666667  0.333333  0.879762       0.6
  1  O     0.333333  0.666667  0.379762       0.6
  2  Zn    0.666667  0.333333  0.500548       0.6
  3  Zn    0.333333  0.666667  0.000548       0.6",534.5857366078552,P6_3mc,186
"Full Formula (Cd1 In2 Te4)
Reduced Formula: Cd(InTe2)2
abc   :   6.424237   6.424237   7.790382
angles: 114.350561 114.350561  90.000000
Sites (7)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Cd    0         0         0
  1  In    0.5       0.5       0
  2  In    0.25      0.75      0.5
  3  Te    0.410673  0.368018  0.273675
  4  Te    0.094343  0.589327  0.726325
  5  Te    0.631982  0.136998  0.726325
  6  Te    0.863002  0.905657  0.273675",166.585765827715,I-4,82
"Full Formula (K4 Na2 In2 As4)
Reduced Formula: K2NaInAs2
abc   :   6.824265   6.868739   9.136900
angles: 112.078655 111.928256  90.000000
Sites (12)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Na    0         0.25      0
  1  Na    0         0.75      0
  2  K     0.415291  0.675925  0.35185
  3  K     0.063441  0.824075  0.64815
  4  K     0.936559  0.175925  0.35185
  5  K     0.584709  0.324075  0.64815
  6  As    0.180732  0.398244  0.796488
  7  As    0.819268  0.601756  0.203512
  8  As    0.384244  0.101756  0.203512
  9  As    0.615756  0.898244  0.796488
 10  In    0.5       0.75      0
 11  In    0.5       0.25      0",202.58576296925045,Ibam,72
"Full Formula (K4 Na2 In2 P4)
Reduced Formula: K2NaInP2
abc   :   6.692929   6.682267   8.884681
angles: 112.089568 112.126676  90.000000
Sites (12)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Na    0.75      0         0
  1  Na    0.25      0         0
  2  P     0.599225  0.814427  0.19845
  3  P     0.400775  0.185573  0.80155
  4  P     0.900775  0.615978  0.80155
  5  P     0.099225  0.384022  0.19845
  6  K     0.822691  0.060933  0.645382
  7  K     0.177309  0.939067  0.354618
  8  K     0.677309  0.415551  0.354618
  9  K     0.322691  0.584449  0.645382
 10  In    0.25      0.5       0
 11  In    0.75      0.5       0",261.5857582845447,Ibam,72
"Full Formula (Al1 As1)
Reduced Formula: AlAs
abc   :   4.054377   4.054377   4.054377
angles:  60.000000  60.000000  60.000000
Sites (2)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Al    0     0     0
  1  As    0.25  0.25  0.25",331.5857527264192,F-43m,216
"Full Formula (Tl1 F1)
Reduced Formula: TlF
abc   :   4.017297   4.017297   4.017455
angles: 119.998704 119.998704  90.000000
Sites (2)
  #  SP      a    b    c
---  ----  ---  ---  ---
  0  F     0.5  0.5    0
  1  Tl    0    0      0",222.91912719571775,Fm-3m,225
"Full Formula (Zn1 Te1)
Reduced Formula: ZnTe
abc   :   4.373333   4.373333   4.373333
angles:  60.000000  60.000000  60.000000
Sites (2)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Zn    0     0     0
  1  Te    0.25  0.25  0.25",178.58576487489344,F-43m,216
"Full Formula (V1 Cu3 Se4)
Reduced Formula: VCu3Se4
abc   :   5.650540   5.650540   5.650540
angles:  90.000000  90.000000  90.000000
Sites (8)
  #  SP          a        b        c
---  ----  -------  -------  -------
  0  V     0        0        0
  1  Cu    0        0.5      0
  2  Cu    0        0        0.5
  3  Cu    0.5      0        0
  4  Se    0.24202  0.24202  0.24202
  5  Se    0.75798  0.75798  0.24202
  6  Se    0.24202  0.75798  0.75798
  7  Se    0.75798  0.24202  0.75798",349.5857512971869,P-43m,215
"Full Formula (Pb1 Se1)
Reduced Formula: PbSe
abc   :   4.400477   4.400476   4.400476
angles:  60.000000  60.000006  59.999994
Sites (2)
  #  SP      a     b     c    magmom
---  ----  ---  ----  ----  --------
  0  Pb    0.5   0.5   0.5         0
  1  Se    0    -0    -0          -0",138.58576805096516,Fm-3m,225
"Full Formula (Rb2 In2 Te4)
Reduced Formula: RbInTe2
abc   :   7.416376   7.416376   7.416376
angles: 104.898617 104.898617 119.063659
Sites (8)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Rb    0.75      0.75      0
  1  Rb    0.25      0.25      0
  2  In    0.75      0.25      0.5
  3  In    0.25      0.75      0.5
  4  Te    0.330647  0.169353  0.5
  5  Te    0.169353  0.669353  0.838707
  6  Te    0.830647  0.330647  0.161293
  7  Te    0.669353  0.830647  0.5",181.58576463668808,I4/mcm,140
"Full Formula (In2 Cu2 Te4)
Reduced Formula: InCuTe2
abc   :   6.288337   6.288337   7.711138
angles: 114.063179 114.063179  90.000000
Sites (8)
  #  SP           a         b     c
---  ----  --------  --------  ----
  0  Cu    0         0         0
  1  Cu    0.25      0.75      0.5
  2  In    0.5       0.5       0
  3  In    0.75      0.25      0.5
  4  Te    0.339984  0.375     0.25
  5  Te    0.125     0.660016  0.75
  6  Te    0.625     0.089984  0.75
  7  Te    0.910016  0.875     0.25",173.5857652719024,I-42d,122
"Full Formula (Zn1 O1)
Reduced Formula: ZnO
abc   :   3.068054   3.068054   3.068054
angles:  60.000000  60.000000  60.000000
Sites (2)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  O     0.5  0.5  0.5         1
  1  Zn    0    0    0           1",500.5857393075161,Fm-3m,225
"Full Formula (Ge3 O6)
Reduced Formula: GeO2
abc   :   5.083723   5.083723   5.759784
angles:  90.000000  90.000000 120.000000
Sites (9)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  O     0.298548  0.397682  0.241687
  1  O     0.602318  0.900865  0.908353
  2  O     0.099135  0.701452  0.57502
  3  O     0.397682  0.298548  0.758313
  4  O     0.701452  0.099135  0.42498
  5  O     0.900865  0.602318  0.091647
  6  Ge    0.544952  0.544952  0
  7  Ge    0         0.455048  0.333333
  8  Ge    0.455048  0         0.666667",910.5857067527812,P3_221,154
"Full Formula (Cd1 In2 Se4)
Reduced Formula: Cd(InSe2)2
abc   :   5.990900   5.990900   7.269169
angles: 114.335314 114.335314  90.000000
Sites (7)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Se    0.863273  0.901453  0.273222       0.6
  1  Se    0.62823   0.136727  0.726778       0.6
  2  Se    0.098547  0.590051  0.726778       0.6
  3  Se    0.409949  0.37177   0.273222       0.6
  4  Cd    0         0         0              0.6
  5  In    0.5       0.5       0              0.6
  6  In    0.25      0.75      0.5            0.6",205.58576273104512,I-4,82
"Full Formula (Na2 Pt1 O2)
Reduced Formula: Na2PtO2
abc   :   3.180542   4.638345   5.565637
angles: 114.614179 106.602508  90.000000
Sites (5)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  O     0.361369  0.861362  0.722739
  1  O     0.638631  0.138638  0.277261
  2  Na    0.677483  0.677479  0.354965
  3  Na    0.322517  0.322521  0.645035
  4  Pt    0         0         0",599.5857314467387,Immm,71
"Full Formula (In4 O6)
Reduced Formula: In2O3
abc   :   5.879404   5.879403   5.879412
angles:  56.720588  56.720592  56.720694
Sites (10)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  In    0.642785  0.642785  0.642785         0
  1  O     0.75      0.453279  0.046721         0
  2  O     0.953279  0.249999  0.546721         0
  3  In    0.857215  0.857215  0.857215         0
  4  O     0.546721  0.953279  0.249999         0
  5  In    0.142785  0.142786  0.142785         0
  6  O     0.453279  0.046721  0.75             0
  7  In    0.357215  0.357215  0.357215         0
  8  O     0.25      0.546721  0.953279         0
  9  O     0.046722  0.75      0.453279         0",583.5857327171674,R-3c,167
"Full Formula (Li4 Pb2 O6)
Reduced Formula: Li2PbO3
abc   :   5.447702   5.447702   5.532044
angles: 100.106549 100.106549 119.658600
Sites (12)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Li    0.253809  0.746191  0.75
  1  Li    0.746191  0.253809  0.25
  2  Li    0.579849  0.420151  0.75
  3  Li    0.420151  0.579849  0.25
  4  O     0         0.5       0
  5  O     0.5       0         0.5
  6  O     0.678027  0.837762  0.991526
  7  O     0.162238  0.321973  0.508474
  8  O     0.321973  0.162238  0.008474
  9  O     0.837762  0.678027  0.491526
 10  Pb    0.089623  0.910377  0.25
 11  Pb    0.910377  0.089623  0.75",626.5857293028903,C2/c,15
"Full Formula (Na1 In1 Se2)
Reduced Formula: NaInSe2
abc   :   7.436808   7.436808   7.436808
angles:  31.499760  31.499760  31.499760
Sites (4)
  #  SP          a        b        c
---  ----  -------  -------  -------
  0  Na    0.5      0.5      0.5
  1  Se    0.74032  0.74032  0.74032
  2  Se    0.25968  0.25968  0.25968
  3  In    0        0        0",168.5857656689114,R-3m,166
"Full Formula (Na2 In2 Te4)
Reduced Formula: NaInTe2
abc   :   6.979631   6.979631   6.979631
angles: 105.789094 105.789094 117.116794
Sites (8)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Na    0.25      0.25      0
  1  Na    0.75      0.75      0
  2  In    0.75      0.25      0.5
  3  In    0.25      0.75      0.5
  4  Te    0.684529  0.184529  0.869058
  5  Te    0.184529  0.315471  0.5
  6  Te    0.815471  0.684529  0.5
  7  Te    0.315471  0.815471  0.130942",185.58576431908094,I4/mcm,140
"Full Formula (K1 In1 P2 S7)
Reduced Formula: KInP2S7
abc   :   6.525572   6.757970   6.757970
angles:  97.822582  95.877547  95.877547
Sites (11)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  P     0.086671  0.0383    0.361684
  1  P     0.913329  0.638316  0.9617
  2  S     0         0.959433  0.040567
  3  S     0.752753  0.527501  0.17374
  4  S     0.291882  0.28866   0.369255
  5  S     0.708118  0.630745  0.71134
  6  S     0.830951  0.11337   0.48616
  7  S     0.169049  0.51384   0.88663
  8  S     0.247247  0.82626   0.472499
  9  K     0.5       0.083148  0.916852
 10  In    0         0.498926  0.501074",599.5857314467387,C2,5
"Full Formula (Zn1 In2 Se4)
Reduced Formula: Zn(InSe2)2
abc   :   5.824267   5.824267   7.159630
angles: 114.000432 114.000432  90.000000
Sites (7)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Zn    0         0         0
  1  Se    0.392046  0.348962  0.261452
  2  Se    0.869406  0.91249   0.261452
  3  Se    0.08751   0.607954  0.738548
  4  Se    0.651038  0.130594  0.738548
  5  In    0.5       0.5       0
  6  In    0.25      0.75      0.5",208.5857624928397,I-4,82
"Full Formula (In1 Ag1 O2)
Reduced Formula: InAgO2
abc   :   6.684183   6.684183   6.684183
angles:  28.872803  28.872803  28.872803
Sites (4)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  O     0.890018  0.890018  0.890018
  1  O     0.109982  0.109982  0.109982
  2  Ag    0         0         0
  3  In    0.5       0.5       0.5",571.5857336699888,R-3m,166
"Full Formula (Li2 Se1)
Reduced Formula: Li2Se
abc   :   4.256621   4.256621   4.256621
angles:  60.000000  60.000000  60.000000
Sites (3)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Li    0.25  0.25  0.25
  1  Li    0.75  0.75  0.75
  2  Se    0     0     0",400.58574724769545,Fm-3m,225
"Full Formula (Cs1 Cl1)
Reduced Formula: CsCl
abc   :   4.209055   4.209055   4.209055
angles:  90.000000  90.000000  90.000000
Sites (2)
  #  SP      a    b    c
---  ----  ---  ---  ---
  0  Cl    0.5  0.5  0.5
  1  Cs    0    0    0",115.58576987720642,Pm-3m,221
"Full Formula (Rb1 Br1)
Reduced Formula: RbBr
abc   :   4.969497   4.969497   4.969497
angles:  60.000000  60.000000  60.000000
Sites (2)
  #  SP      a    b    c
---  ----  ---  ---  ---
  0  Br    0.5  0.5  0.5
  1  Rb    0    0    0",86.58577217985842,Fm-3m,225
"Full Formula (Tl1 Br1)
Reduced Formula: TlBr
abc   :   4.057120   4.057120   4.057120
angles:  90.000000  90.000000  90.000000
Sites (2)
  #  SP      a    b    c
---  ----  ---  ---  ---
  0  Br    0.5  0.5  0.5
  1  Tl    0    0    0",82.58577249746558,Pm-3m,221
"Full Formula (Ca2 Br4)
Reduced Formula: CaBr2
abc   :   4.383589   6.701125   7.003281
angles:  90.000000  90.000000  90.000000
Sites (6)
  #  SP      a        b         c
---  ----  ---  -------  --------
  0  Ca    0    0        0
  1  Ca    0.5  0.5      0.5
  2  Br    0    0.27641  0.326833
  3  Br    0    0.72359  0.673167
  4  Br    0.5  0.77641  0.173167
  5  Br    0.5  0.22359  0.826833",222.5857613812146,Pnnm,58
"Full Formula (Ag2 I2)
Reduced Formula: AgI
abc   :   4.710585   4.710585   7.613745
angles:  90.000000  90.000000 120.000000
Sites (4)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Ag    0.333333  0.666667  0.000219
  1  Ag    0.666667  0.333333  0.500219
  2  I     0.333333  0.666667  0.379681
  3  I     0.666667  0.333333  0.879681",116.58576979780462,P6_3mc,186
"Full Formula (Cu1 I1)
Reduced Formula: CuI
abc   :   4.291987   4.291987   4.291987
angles:  60.000000  60.000000  60.000000
Sites (2)
  #  SP       a     b     c    magmom
---  ----  ----  ----  ----  --------
  0  Cu    0.25  0.25  0.25         1
  1  I     0     0     0            1",153.58576685993827,F-43m,216
"Full Formula (La2 Cl6)
Reduced Formula: LaCl3
abc   :   7.602965   7.602965   4.375408
angles:  90.000000  90.000000 120.000000
Sites (8)
  #  SP           a         b     c
---  ----  --------  --------  ----
  0  Cl    0.607999  0.694903  0.75
  1  Cl    0.913095  0.607999  0.25
  2  Cl    0.392001  0.305097  0.25
  3  Cl    0.086905  0.392001  0.75
  4  Cl    0.305097  0.913095  0.75
  5  Cl    0.694903  0.086905  0.25
  6  La    0.666667  0.333333  0.75
  7  La    0.333333  0.666667  0.25",241.58575987258044,P6_3/m,176
"Full Formula (K1 I1)
Reduced Formula: KI
abc   :   5.080805   5.080805   5.080805
angles:  60.000000  60.000000  60.000000
Sites (2)
  #  SP      a    b    c
---  ----  ---  ---  ---
  0  K     0    0    0
  1  I     0.5  0.5  0.5",99.58577114763511,Fm-3m,225
"Full Formula (Li1 I1)
Reduced Formula: LiI
abc   :   4.260813   4.260813   4.260813
angles:  60.000000  60.000000  60.000000
Sites (2)
  #  SP      a    b    c
---  ----  ---  ---  ---
  0  Li    0    0    0
  1  I     0.5  0.5  0.5",285.58575637890164,Fm-3m,225
"Full Formula (K1 I1)
Reduced Formula: KI
abc   :   4.346382   4.346382   4.346382
angles:  90.000000  90.000000  90.000000
Sites (2)
  #  SP      a    b    c
---  ----  ---  ---  ---
  0  K     0    0    0
  1  I     0.5  0.5  0.5",93.58577162404586,Pm-3m,221
"Full Formula (Rb1 I1)
Reduced Formula: RbI
abc   :   5.294711   5.294711   5.294711
angles:  60.000000  60.000000  60.000000
Sites (2)
  #  SP      a    b    c
---  ----  ---  ---  ---
  0  Rb    0    0    0
  1  I     0.5  0.5  0.5",74.58577313267992,Fm-3m,225
"Full Formula (Li1 Cl1)
Reduced Formula: LiCl
abc   :   3.643543   3.643543   3.643543
angles:  60.000000  60.000000  60.000000
Sites (2)
  #  SP      a    b    c
---  ----  ---  ---  ---
  0  Li    0    0    0
  1  Cl    0.5  0.5  0.5",393.58574780350807,Fm-3m,225
"Full Formula (Cs1 Br1)
Reduced Formula: CsBr
abc   :   4.393019   4.393019   4.393019
angles:  90.000000  90.000000  90.000000
Sites (2)
  #  SP      a    b    c
---  ----  ---  ---  ---
  0  Br    0.5  0.5  0.5
  1  Cs    0    0    0",76.58577297387635,Pm-3m,221
"Full Formula (Zn2 Cl4)
Reduced Formula: ZnCl2
abc   :   5.648129   5.648129   6.517490
angles: 115.677522 115.677522  90.000000
Sites (6)
  #  SP           a         b     c
---  ----  --------  --------  ----
  0  Cl    0.352427  0.375     0.25
  1  Cl    0.125     0.647573  0.75
  2  Cl    0.625     0.102427  0.75
  3  Cl    0.897573  0.875     0.25
  4  Zn    0         0         0
  5  Zn    0.25      0.75      0.5",310.5857543938568,I-42d,122
"Full Formula (Cu1 Br1)
Reduced Formula: CuBr
abc   :   4.029812   4.029812   4.029812
angles:  60.000000  60.000000  60.000000
Sites (2)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Cu    0.25  0.25  0.25
  1  Br    0     0     0",177.58576495429523,F-43m,216
"Full Formula (Cu1 Cl1)
Reduced Formula: CuCl
abc   :   3.821652   3.821652   3.821652
angles:  60.000000  60.000000  60.000000
Sites (2)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Cl    0.25  0.25  0.25
  1  Cu    0     0     0",253.58575891975903,F-43m,216
"Full Formula (Ag1 I1)
Reduced Formula: AgI
abc   :   4.362142   4.362142   4.362142
angles:  60.000000  60.000000  60.000000
Sites (2)
  #  SP      a    b    c
---  ----  ---  ---  ---
  0  Ag    0    0    0
  1  I     0.5  0.5  0.5",103.34535948486929,Fm-3m,225
"Full Formula (Ag1 Cl1)
Reduced Formula: AgCl
abc   :   3.975635   3.975635   3.975635
angles:  60.000000  60.000000  60.000000
Sites (2)
  #  SP      a    b    c
---  ----  ---  ---  ---
  0  Cl    0.5  0.5  0.5
  1  Ag    0    0    0",183.58576447788448,Fm-3m,225
"Full Formula (Ag1 I1)
Reduced Formula: AgI
abc   :   4.695849   4.695849   4.695849
angles:  60.000000  60.000000  60.000000
Sites (2)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Ag    0     0     0
  1  I     0.25  0.25  0.25",121.58576940079568,F-43m,216
"Full Formula (K2 Pt1 Cl4)
Reduced Formula: K2PtCl4
abc   :   4.261407   7.105859   7.105859
angles:  90.000000  90.000000  90.000000
Sites (7)
  #  SP      a         b         c
---  ----  ---  --------  --------
  0  Cl    0    0.231696  0.768304
  1  Cl    0    0.231696  0.231696
  2  Cl    0    0.768304  0.768304
  3  Cl    0    0.768304  0.231696
  4  K     0.5  0         0.5
  5  K     0.5  0.5       0
  6  Pt    0    0         0",331.5857527264192,P4/mmm,123
"Full Formula (Cs2 Br2 F2)
Reduced Formula: CsBrF
abc   :   4.399293   4.399293  10.548388
angles: 102.036172 102.036172  90.000000
Sites (6)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  F     0.816733  0.816733  0.633466
  1  F     0.183267  0.183267  0.366534
  2  Br    0.059869  0.059869  0.119739
  3  Br    0.940131  0.940131  0.880261
  4  Cs    0.669249  0.669249  0.338498
  5  Cs    0.330751  0.330751  0.661502",272.585757411125,I4/mmm,139
"Full Formula (Ca2 N1 Cl1)
Reduced Formula: Ca2NCl
abc   :   6.961731   6.961731   6.961731
angles:  30.582991  30.582991  30.582991
Sites (4)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  N     0.5       0.5       0.5
  1  Cl    0         0         0
  2  Ca    0.771444  0.771444  0.771444
  3  Ca    0.228556  0.228556  0.228556",468.58574184837363,R-3m,166
"Full Formula (Na4 I2 O1)
Reduced Formula: Na4I2O
abc   :   4.707509   4.707509   8.719286
angles: 105.661179 105.661179  90.000000
Sites (7)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  O     0         0         0
  1  Na    0.142765  0.142765  0.285529
  2  Na    0         0.5       0
  3  Na    0.857235  0.857235  0.714471
  4  Na    0.5       0         0
  5  I     0.346773  0.346773  0.693545
  6  I     0.653227  0.653227  0.306455",354.58575090017797,I4/mmm,139
